Full_Date,Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
09-12-20,9,12,20,3167.889893,3174.429932,3088,3104.199951,3104.199951,4100800
10-12-20,10,12,20,3088.98999,3142.100098,3076,3101.48999,3101.48999,3030200
11-12-20,11,12,20,3096.659912,3118.669922,3072.820068,3116.419922,3116.419922,3064700
14-12-20,14,12,20,3143,3190.469971,3126,3156.969971,3156.969971,4155800
15-12-20,15,12,20,3181.01001,3188.5,3130.48999,3165.120117,3165.120117,3323700
16-12-20,16,12,20,3176.01001,3247,3163.679932,3240.959961,3240.959961,4427600
17-12-20,17,12,20,3250,3263.51001,3221,3236.080078,3236.080078,3474300
18-12-20,18,12,20,3243.98999,3249.419922,3171.600098,3201.649902,3201.649902,5995700
21-12-20,21,12,20,3200.01001,3226.969971,3166,3206.179932,3206.179932,3836800
22-12-20,22,12,20,3202.840088,3222,3180.080078,3206.52002,3206.52002,2369400
23-12-20,23,12,20,3205,3210.129883,3184.169922,3185.27002,3185.27002,2093800
24-12-20,24,12,20,3193.899902,3202,3169,3172.689941,3172.689941,1451900
28-12-20,28,12,20,3194,3304,3172.689941,3283.959961,3283.959961,5686800
29-12-20,29,12,20,3309.939941,3350.649902,3281.219971,3322,3322,4872900
30-12-20,30,12,20,3341,3342.100098,3282.469971,3285.850098,3285.850098,3209300
31-12-20,31,12,20,3275,3282.919922,3241.199951,3256.929932,3256.929932,2954100
04-01-21,4,1,21,3270,3272,3144.02002,3186.629883,3186.629883,4411400
05-01-21,5,1,21,3166.01001,3223.379883,3165.060059,3218.51001,3218.51001,2655500
06-01-21,6,1,21,3146.47998,3197.51001,3131.159912,3138.379883,3138.379883,4394800
07-01-21,7,1,21,3157,3208.540039,3155,3162.159912,3162.159912,3514500
08-01-21,8,1,21,3180,3190.639893,3142.199951,3182.699951,3182.699951,3537700
11-01-21,11,1,21,3148.01001,3156.379883,3110,3114.209961,3114.209961,3683400
12-01-21,12,1,21,3120,3142.139893,3086,3120.830078,3120.830078,3514600
13-01-21,13,1,21,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321200
14-01-21,14,1,21,3167.52002,3178,3120.590088,3127.469971,3127.469971,3070900
15-01-21,15,1,21,3123.02002,3142.550049,3095.169922,3104.25,3104.25,4244000
19-01-21,19,1,21,3107,3145,3096,3120.76001,3120.76001,3297200
